Gene	Transcript_ID	Protein_ID	Length
ATOSB	ENST00000322813.10	ENSP00000319897.5	538
ATOSB	ENST00000603301.5	ENSP00000474335.1	538
ATOSB	ENST00000488109.6	ENSP00000475120.1	538
ATOSB	ENST00000605244.5	ENSP00000474833.1	538
ATOSB	ENST00000378561.5	ENSP00000367823.1	538
ATOSB	ENST00000378557.1	ENSP00000367819.1	538
ATP23	ENST00000300145.4	ENSP00000300145.3	246
ATP6V0B	ENST00000472505.6	ENSP00000432994.1	86
ATP6V0B	ENST00000532642.5	ENSP00000434729.1	261
ATP6V0B	ENST00000236067.8	ENSP00000236067.4	158
ATP6V0B	ENST00000471859.6	ENSP00000432754.1	252
ATP6V0B	ENST00000472174.7	ENSP00000431605.1	205
ATP6V0B	ENST00000498664.1	ENSP00000434094.1	158
ATP6V1A	ENST00000703904.2	ENSP00000515542.1	617
ATP6V1A	ENST00000273398.8	ENSP00000273398.3	617
ATP6V1A	ENST00000703908.1	ENSP00000515545.1	307
ATP6V1A	ENST00000496747.6	ENSP00000417545.2	584
ATP6V1A	ENST00000475322.1	ENSP00000419294.1	221
ATP6V1A	ENST00000703909.1	ENSP00000515546.1	532
ATP6V1A	ENST00000703910.1	ENSP00000515547.1	617
ATP6V1A	ENST00000703911.1	ENSP00000515548.1	617
ATP6V1B2	ENST00000276390.7	ENSP00000276390.2	511
ATP6V1B2	ENST00000519667.1	ENSP00000430682.1	199
AVIL	ENST00000549994.2	ENSP00000449239.2	819
AVIL	ENST00000257861.7	ENSP00000257861.3	819
B3GNT5	ENST00000326505.4	ENSP00000316173.3	378
B3GNT5	ENST00000464191.1	ENSP00000418785.1	62
B3GNT5	ENST00000460419.1	ENSP00000420778.1	378
B3GNT5	ENST00000464923.1	ENSP00000418477.1	81
B3GNT5	ENST00000465010.1	ENSP00000417868.1	378
B3GNT5	ENST00000481531.1	ENSP00000417301.1	50
B3GNT8	ENST00000691102.1	ENSP00000510371.1	397
B3GNT8	ENST00000321702.2	ENSP00000312700.1	397
B3GNTL1	ENST00000320865.4	ENSP00000319979.4	346
B3GNTL1	ENST00000576599.5	ENSP00000461127.1	250
B4GALT5	ENST00000371711.4	ENSP00000360776.4	388
B9D2	ENST00000675972.1	ENSP00000501911.1	175
B9D2	ENST00000243578.8	ENSP00000243578.2	175
BACH1	ENST00000548219.5	ENSP00000447332.1	25
BACH1	ENST00000550131.5	ENSP00000449316.1	25
BACH1	ENST00000547141.5	ENSP00000448663.1	25
BACH1	ENST00000546469.5	ENSP00000449383.1	25
BACH1	ENST00000286800.8	ENSP00000286800.3	736
BACH1	ENST00000399921.5	ENSP00000382805.1	736
BACH1	ENST00000548467.1	ENSP00000448982.1	25
BACH1	ENST00000451655.5	ENSP00000400576.1	224
BACH1	ENST00000447177.5	ENSP00000408605.1	220
BACH1	ENST00000435072.1	ENSP00000392202.1	170
BACH1	ENST00000422809.5	ENSP00000416569.1	218
BACH1	ENST00000468059.1	ENSP00000470673.1	138
BASP1	ENST00000606445.1	ENSP00000476090.1	45
BASP1	ENST00000616743.1	ENSP00000482066.1	227
BASP1	ENST00000322611.4	ENSP00000319281.3	227
BATF2	ENST00000435842.2	ENSP00000398911.2	189
BATF2	ENST00000301887.9	ENSP00000301887.4	274
BATF2	ENST00000527716.1	ENSP00000434915.1	250
BATF2	ENST00000534177.1	ENSP00000435640.1	155
BAZ1A	ENST00000360310.6	ENSP00000353458.1	1556
BAZ1A	ENST00000358716.8	ENSP00000351555.4	1524
BAZ1A	ENST00000382422.6	ENSP00000371859.2	1556
BAZ1A	ENST00000556314.2	ENSP00000480380.1	218
BAZ2B	ENST00000392783.7	ENSP00000376534.2	2168
BAZ2B	ENST00000392782.5	ENSP00000376533.1	2132
BAZ2B	ENST00000426648.1	ENSP00000400505.1	179
BAZ2B	ENST00000294905.4	ENSP00000294905.4	211
BAZ2B	ENST00000441143.1	ENSP00000393565.1	194
BAZ2B	ENST00000541068.6	ENSP00000441341.2	95
BAZ2B	ENST00000437839.5	ENSP00000415613.1	142
BBC3	ENST00000439096.3	ENSP00000395862.2	193
BBC3	ENST00000300880.11	ENSP00000300880.7	101
BBC3	ENST00000341983.8	ENSP00000341155.4	131
BBC3	ENST00000449228.5	ENSP00000404503.1	261
BCL3	ENST00000164227.10	ENSP00000164227.5	454
BCL3	ENST00000444487.1	ENSP00000393731.1	308
BCL6	ENST00000621333.4	ENSP00000479784.1	650
BCL6	ENST00000406870.7	ENSP00000384371.2	706
BCL6	ENST00000232014.8	ENSP00000232014.4	706
BCL6	ENST00000450123.6	ENSP00000413122.2	650
BCL6	ENST00000430339.5	ENSP00000415574.1	121
BCL6	ENST00000438077.1	ENSP00000414455.1	104
BEST1	ENST00000534553.5	ENSP00000431189.1	55
BEST1	ENST00000378043.9	ENSP00000367282.4	585
BEST1	ENST00000449131.6	ENSP00000399709.2	604
BEST1	ENST00000526988.1	ENSP00000433195.1	329
BOD1L1	ENST00000040738.10	ENSP00000040738.5	3051
BOD1L1	ENST00000507943.2	ENSP00000425492.2	3098
BRCA1	ENST00000497488.2	ENSP00000418986.2	1567
BRCA1	ENST00000489037.2	ENSP00000420781.2	1837
BRCA1	ENST00000478531.6	ENSP00000420412.2	759
BRCA1	ENST00000357654.9	ENSP00000350283.3	1863
BRCA1	ENST00000473961.6	ENSP00000420201.2	1821
BRCA1	ENST00000477152.6	ENSP00000419988.2	1837
BRCA1	ENST00000352993.7	ENSP00000312236.5	721
BRCA1	ENST00000493919.6	ENSP00000418819.2	713
BRCA1	ENST00000494123.6	ENSP00000419103.2	1863
BRCA1	ENST00000471181.7	ENSP00000418960.2	1884
BRCA1	ENST00000652672.2	ENSP00000498906.2	1816
BRCA1	ENST00000634433.2	ENSP00000489431.2	1822
BRCA1	ENST00000476777.6	ENSP00000417554.2	1861
BRCA1	ENST00000470026.6	ENSP00000419274.2	1863
BRCA1	ENST00000618469.2	ENSP00000478114.2	1863
BRCA1	ENST00000461574.2	ENSP00000417241.2	1862
BRCA1	ENST00000644555.2	ENSP00000494614.2	713
BRCA1	ENST00000468300.5	ENSP00000417148.1	699
BRCA1	ENST00000644379.2	ENSP00000496570.2	1885
BRCA1	ENST00000484087.6	ENSP00000419481.2	717
BRCA1	ENST00000586385.5	ENSP00000465818.1	173
BRCA1	ENST00000591534.5	ENSP00000467329.1	354
BRCA1	ENST00000591849.5	ENSP00000465347.1	96
BRCA1	ENST00000493795.5	ENSP00000418775.1	1816
BRCA1	ENST00000491747.6	ENSP00000420705.2	759
BRCA1	ENST00000700182.1	ENSP00000514849.1	544
BRI3	ENST00000539286.5	ENSP00000440936.1	98
BRI3	ENST00000297290.4	ENSP00000297290.3	125
C17orf107	ENST00000521575.1	ENSP00000429241.1	98
C17orf107	ENST00000381365.4	ENSP00000370770.3	190
C1RL	ENST00000545280.5	ENSP00000438286.1	110
C1RL	ENST00000266542.9	ENSP00000266542.4	487
C1RL	ENST00000544702.5	ENSP00000441885.1	314
C1RL	ENST00000534950.1	ENSP00000439180.1	194
C1RL	ENST00000543933.5	ENSP00000437398.1	191
C1RL	ENST00000545337.1	ENSP00000442611.1	187
C2orf88	ENST00000450357.5	ENSP00000394370.1	30
C2orf88	ENST00000396974.2	ENSP00000380172.2	95
C2orf88	ENST00000409545.2	ENSP00000386976.2	67
C2orf88	ENST00000409870.1	ENSP00000386649.1	95
C2orf88	ENST00000340623.4	ENSP00000345107.4	95
C2orf88	ENST00000443551.2	ENSP00000405225.2	95
C3orf62	ENST00000343010.8	ENSP00000341139.3	267
C3orf62	ENST00000436325.1	ENSP00000413663.1	190
C4orf19	ENST00000381980.9	ENSP00000371408.4	314
C4orf19	ENST00000508175.5	ENSP00000421537.1	38
C4orf19	ENST00000284437.6	ENSP00000284437.6	314
C5AR1	ENST00000594787.1	ENSP00000470613.1	17
C5AR1	ENST00000355085.4	ENSP00000347197.2	350
C5AR2	ENST00000595464.3	ENSP00000472620.1	337
C5AR2	ENST00000600626.1	ENSP00000471184.1	337
C9orf72	ENST00000380003.8	ENSP00000369339.3	481
C9orf72	ENST00000619707.5	ENSP00000482753.1	481
C9orf72	ENST00000644136.1	ENSP00000494872.1	492
C9orf72	ENST00000647196.1	ENSP00000494839.1	373
C9orf72	ENST00000379997.7	ENSP00000369333.3	222
C9orf72	ENST00000379995.1	ENSP00000369331.1	222
CA4	ENST00000591725.1	ENSP00000466964.1	38
CA4	ENST00000300900.9	ENSP00000300900.3	312
CA4	ENST00000590203.1	ENSP00000465837.1	184
CA4	ENST00000587265.1	ENSP00000464757.1	99
CALD1	ENST00000417172.5	ENSP00000398826.1	538
CALD1	ENST00000436461.6	ENSP00000411476.2	459
CALD1	ENST00000422748.5	ENSP00000395710.1	563
CALD1	ENST00000454108.5	ENSP00000401988.1	72
CALD1	ENST00000361675.7	ENSP00000354826.2	793
CALD1	ENST00000361901.6	ENSP00000354513.2	538
CALD1	ENST00000445569.6	ENSP00000390926.1	132
CALD1	ENST00000435928.1	ENSP00000416611.1	72
CALD1	ENST00000393118.7	ENSP00000376826.2	558
CALD1	ENST00000424922.5	ENSP00000393621.1	532
CALD1	ENST00000495522.1	ENSP00000419673.1	557
CALD1	ENST00000466704.1	ENSP00000502281.1	205
CALML4	ENST00000540479.6	ENSP00000438177.2	81
CALML4	ENST00000467889.3	ENSP00000419081.2	153
CALML4	ENST00000448060.7	ENSP00000400755.3	106
CALML4	ENST00000395463.3	ENSP00000435285.2	120
CALML4	ENST00000354678.3	ENSP00000456532.1	88
CAPN15	ENST00000219611.7	ENSP00000219611.2	1086
CAPN15	ENST00000562370.5	ENSP00000456017.1	184
CAPN15	ENST00000568988.5	ENSP00000457030.1	112
CAPN15	ENST00000637507.1	ENSP00000490480.1	465
CAPN15	ENST00000566977.1	ENSP00000457306.1	71
CASS4	ENST00000360314.7	ENSP00000353462.3	786
CASS4	ENST00000679887.1	ENSP00000506506.1	786
CASS4	ENST00000434344.2	ENSP00000410027.1	349
CASS4	ENST00000679529.1	ENSP00000505834.1	732
CAVIN2	ENST00000304141.5	ENSP00000305675.4	425
CBL	ENST00000634586.1	ENSP00000489218.1	882
CBL	ENST00000634840.1	ENSP00000489324.1	862
CBL	ENST00000264033.6	ENSP00000264033.3	906
CBL	ENST00000637974.1	ENSP00000490763.1	869
CBL	ENST00000634301.1	ENSP00000489556.1	89
CC2D2A	ENST00000515124.6	ENSP00000424368.1	111
CC2D2A	ENST00000512702.6	ENSP00000422875.2	687
CC2D2A	ENST00000503292.6	ENSP00000421809.1	1620
CC2D2A	ENST00000424120.6	ENSP00000403465.1	1620
CC2D2A	ENST00000507954.5	ENSP00000427221.1	111
CC2D2A	ENST00000514450.3	ENSP00000502062.1	276
CC2D2A	ENST00000503658.2	ENSP00000426846.1	122
CC2D2A	ENST00000389652.11	ENSP00000374303.8	1632
CC2D2A	ENST00000674945.1	ENSP00000502333.1	1512
CC2D2A	ENST00000506643.5	ENSP00000422931.2	1571
CC2D2A	ENST00000652443.1	ENSP00000502719.1	62
CC2D2A	ENST00000651385.1	ENSP00000499005.1	638
CC2D2A	ENST00000514039.6	ENSP00000488534.2	322
CCDC125	ENST00000396496.7	ENSP00000379754.2	511
CCDC125	ENST00000396499.5	ENSP00000379756.1	511
CCDC125	ENST00000383374.6	ENSP00000372865.2	312
CCDC125	ENST00000511257.1	ENSP00000426795.1	386
CCDC146	ENST00000415750.5	ENSP00000388649.1	170
CCDC146	ENST00000285871.5	ENSP00000285871.4	955
CCNJL	ENST00000257536.13	ENSP00000257536.7	387
CCNJL	ENST00000393977.7	ENSP00000377547.3	435
CCNJL	ENST00000644313.1	ENSP00000493837.1	387
CCNJL	ENST00000519673.1	ENSP00000427960.1	252
CCNJL	ENST00000520748.1	ENSP00000428836.1	189
CCNY	ENST00000490012.6	ENSP00000473487.1	51
CCNY	ENST00000374706.5	ENSP00000363838.1	287
CCNY	ENST00000493157.6	ENSP00000473625.1	101
CCNY	ENST00000374704.8	ENSP00000363836.4	341
CCNY	ENST00000265375.13	ENSP00000265375.9	287
CCNY	ENST00000339497.7	ENSP00000344275.5	316
CCPG1	ENST00000564663.1	ENSP00000457967.1	117
CCPG1	ENST00000442196.8	ENSP00000403400.3	807
CCPG1	ENST00000310958.10	ENSP00000311656.6	757
CCPG1	ENST00000425574.7	ENSP00000415128.3	424
CCPG1	ENST00000568543.1	ENSP00000455406.1	32
CCPG1	ENST00000568592.1	ENSP00000454666.1	203
CCPG1	ENST00000569205.5	ENSP00000454456.1	757
CCPG1	ENST00000563171.5	ENSP00000454802.1	240
CCPG1	ENST00000570272.5	ENSP00000457393.1	170
CCPG1	ENST00000564092.1	ENSP00000456045.1	92
CD177	ENST00000618265.5	ENSP00000479536.1	437
CD177	ENST00000607855.5	ENSP00000483817.1	139
CD300LD	ENST00000375352.1	ENSP00000364501.1	194
CD46	ENST00000695777.1	ENSP00000512167.1	373
CD46	ENST00000695780.1	ENSP00000512169.1	346
CD46	ENST00000695782.1	ENSP00000512171.1	358
CD46	ENST00000367042.6	ENSP00000356009.1	377
CD46	ENST00000322875.8	ENSP00000313875.4	399
CD46	ENST00000322918.9	ENSP00000314664.5	349
CD46	ENST00000354848.5	ENSP00000346912.1	384
CD46	ENST00000357714.5	ENSP00000350346.1	369
CD46	ENST00000358170.6	ENSP00000350893.2	392
CD46	ENST00000367041.5	ENSP00000356008.1	362
CD46	ENST00000367047.5	ENSP00000356014.1	336
CD46	ENST00000360212.6	ENSP00000353342.2	355
CD46	ENST00000480003.5	ENSP00000418471.1	370
CD46	ENST00000462968.2	ENSP00000473449.1	78
CD55	ENST00000695823.1	ENSP00000512200.1	318
CD55	ENST00000695824.1	ENSP00000512201.1	391
CD55	ENST00000695826.1	ENSP00000512203.1	362
CD55	ENST00000367063.6	ENSP00000356030.2	444
CD55	ENST00000695828.1	ENSP00000512204.1	381
CD55	ENST00000391921.9	ENSP00000375788.4	317
CD55	ENST00000645323.1	ENSP00000496251.1	439
CD55	ENST00000367064.9	ENSP00000356031.4	381
CD55	ENST00000314754.12	ENSP00000316333.8	440
CD55	ENST00000644836.1	ENSP00000495518.1	384
CD55	ENST00000343420.6	ENSP00000340631.6	326
CD55	ENST00000618707.2	ENSP00000495477.1	268
CD82	ENST00000526958.5	ENSP00000435682.1	161
CD82	ENST00000342935.7	ENSP00000339686.3	242
CD82	ENST00000532544.5	ENSP00000431767.1	108
CD82	ENST00000525210.5	ENSP00000435661.1	38
CD82	ENST00000227155.9	ENSP00000227155.4	267
CD82	ENST00000527737.5	ENSP00000433151.1	179
CD82	ENST00000524704.5	ENSP00000436403.1	68
CD82	ENST00000525813.5	ENSP00000433804.1	104
CD82	ENST00000530601.1	ENSP00000433788.1	157
CD82	ENST00000524750.1	ENSP00000433036.1	57
CD93	ENST00000246006.5	ENSP00000246006.4	652
CDA	ENST00000375071.4	ENSP00000364212.3	146
CDC42EP2	ENST00000279249.3	ENSP00000279249.2	210
CDC42EP2	ENST00000533419.1	ENSP00000431660.1	210
CDH2	ENST00000675173.1	ENSP00000502696.1	394
CDH2	ENST00000269141.8	ENSP00000269141.3	906
CDH2	ENST00000399380.7	ENSP00000382312.3	875
CDH2	ENST00000676445.1	ENSP00000502206.1	821
CDH2	ENST00000430882.6	ENSP00000412120.2	821
CDH2	ENST00000413878.2	ENSP00000414269.2	691
CDH2	ENST00000418492.5	ENSP00000411360.1	191
CDH9	ENST00000231021.9	ENSP00000231021.4	789
CDH9	ENST00000513289.5	ENSP00000426239.1	132
CDH9	ENST00000511822.1	ENSP00000422538.1	81
CDK11A	ENST00000404249.8	ENSP00000384442.3	780
CDK11A	ENST00000356200.7	ENSP00000348529.2	746
CDK11A	ENST00000378638.6	ENSP00000367905.1	746
CDK11A	ENST00000357760.6	ENSP00000350403.2	779
CDK11A	ENST00000358779.9	ENSP00000351629.5	770
CDK11A	ENST00000378633.5	ENSP00000367900.1	783
CDK11A	ENST00000479362.1	ENSP00000423900.1	151
CDK11A	ENST00000401096.2	ENSP00000383874.2	37
CDK14	ENST00000449528.5	ENSP00000393616.1	127
CDK14	ENST00000446224.5	ENSP00000410770.1	127
CDK14	ENST00000430760.5	ENSP00000394570.1	127
CDK14	ENST00000456689.5	ENSP00000406848.1	127
CDK14	ENST00000380050.8	ENSP00000369390.3	469
CDK14	ENST00000446790.5	ENSP00000401603.1	92
CDK14	ENST00000265741.7	ENSP00000265741.3	451
CDK14	ENST00000406263.5	ENSP00000385034.1	423
CDK14	ENST00000436577.3	ENSP00000398936.2	340
CDK19	ENST00000413605.6	ENSP00000410604.3	398
CDK19	ENST00000368911.8	ENSP00000357907.3	502
CDK19	ENST00000323817.7	ENSP00000317665.3	442
CDK19	ENST00000457688.5	ENSP00000415621.1	251
CEACAM1	ENST00000352591.9	ENSP00000244291.6	430
CEACAM1	ENST00000161559.11	ENSP00000161559.6	526
CEACAM1	ENST00000403444.7	ENSP00000384709.3	464
CEACAM1	ENST00000403461.5	ENSP00000384083.1	368
CEACAM1	ENST00000358394.7	ENSP00000351165.2	461
CEACAM1	ENST00000599389.1	ENSP00000471918.1	399
CEACAM1	ENST00000676851.1	ENSP00000503201.1	54
CEACAM1	ENST00000600172.1	ENSP00000471566.1	99
CEACAM1	ENST00000471298.2	ENSP00000472633.1	94
CEACAM6	ENST00000595740.1	ENSP00000469752.1	33
CEACAM6	ENST00000199764.7	ENSP00000199764.6	344
CEBPB	ENST00000303004.5	ENSP00000305422.3	345
CEBPD	ENST00000408965.4	ENSP00000386165.3	269
CEP19	ENST00000409690.5	ENSP00000387209.4	163
CEP19	ENST00000399942.4	ENSP00000382823.4	128
CEP43	ENST00000349556.5	ENSP00000230248.6	379
CEP43	ENST00000705180.1	ENSP00000516082.1	285
CEP43	ENST00000705178.1	ENSP00000516080.1	240
CEP43	ENST00000622353.4	ENSP00000479115.1	351
CEP43	ENST00000704900.1	ENSP00000516059.1	258
CEP43	ENST00000705235.1	ENSP00000516093.1	376
CEP43	ENST00000705236.1	ENSP00000516094.1	356
CEP43	ENST00000705237.1	ENSP00000516095.1	262
CEP43	ENST00000705238.1	ENSP00000516096.1	352
CEP43	ENST00000705172.1	ENSP00000516074.1	198
CEP43	ENST00000705239.1	ENSP00000516097.1	378
CEP43	ENST00000366847.9	ENSP00000355812.3	399
CEP43	ENST00000705058.1	ENSP00000516068.1	237
CEP43	ENST00000705175.1	ENSP00000516077.1	441
CEP43	ENST00000705176.1	ENSP00000516078.1	461
CEP43	ENST00000705179.1	ENSP00000516081.1	305
CEP43	ENST00000705242.1	ENSP00000516100.1	378
CEP43	ENST00000705168.1	ENSP00000516071.1	150
CEP43	ENST00000705170.1	ENSP00000516073.1	149
CEP63	ENST00000683596.1	ENSP00000506896.1	703
CEP63	ENST00000683997.1	ENSP00000507552.1	521
CEP63	ENST00000684574.1	ENSP00000507386.1	521
CEP63	ENST00000332047.10	ENSP00000328382.5	495
CEP63	ENST00000684217.1	ENSP00000508291.1	541
CEP63	ENST00000684256.1	ENSP00000507380.1	426
CEP63	ENST00000354446.7	ENSP00000346432.3	475
CEP63	ENST00000683556.1	ENSP00000507583.1	422
CEP63	ENST00000682593.1	ENSP00000508324.1	467
CEP63	ENST00000683949.1	ENSP00000506777.1	454
CEP63	ENST00000682858.1	ENSP00000507703.1	495
CEP63	ENST00000684170.1	ENSP00000508161.1	513
CEP63	ENST00000682458.1	ENSP00000507263.1	657
CEP63	ENST00000683118.1	ENSP00000507985.1	454
CEP63	ENST00000682042.1	ENSP00000507228.1	495
CEP63	ENST00000682190.1	ENSP00000507488.1	448
CEP63	ENST00000511574.6	ENSP00000424626.2	230
CEP63	ENST00000682822.1	ENSP00000507596.1	467
CEP63	ENST00000620544.5	ENSP00000482219.1	475
CEP63	ENST00000383229.8	ENSP00000372716.3	541
CEP63	ENST00000675561.1	ENSP00000502085.1	703
CEP63	ENST00000513295.2	ENSP00000507549.1	446
CEP63	ENST00000508778.2	ENSP00000422685.2	447
CEP63	ENST00000684481.1	ENSP00000507856.1	454
CEP63	ENST00000683190.1	ENSP00000508034.1	675
CEP63	ENST00000682717.1	ENSP00000508030.1	454
CEP63	ENST00000514678.2	ENSP00000427526.2	521
CEP63	ENST00000684677.1	ENSP00000507217.1	541
CEP63	ENST00000683177.1	ENSP00000506828.1	495
CEP63	ENST00000683861.1	ENSP00000506728.1	495
CEP63	ENST00000512894.6	ENSP00000423225.2	475
CEP63	ENST00000682670.1	ENSP00000507982.1	446
CEP63	ENST00000682937.1	ENSP00000507900.1	492
CEP63	ENST00000682402.1	ENSP00000507548.1	657
CEP63	ENST00000683732.1	ENSP00000507933.1	500
CEP63	ENST00000683931.1	ENSP00000506862.1	462
CEP63	ENST00000513612.7	ENSP00000426129.1	703
CEP63	ENST00000606977.5	ENSP00000475903.1	703
CEP63	ENST00000683608.1	ENSP00000507704.1	541
CEP63	ENST00000682685.1	ENSP00000507957.1	467
CEP63	ENST00000684492.1	ENSP00000507256.1	467
CEP63	ENST00000682800.1	ENSP00000506791.1	495
CFAP58	ENST00000369704.8	ENSP00000358718.3	872
CFAP58	ENST00000369703.1	ENSP00000358717.1	92
CFLAR	ENST00000443227.5	ENSP00000413270.1	384
CFLAR	ENST00000309955.8	ENSP00000312455.2	480
CFLAR	ENST00000341222.10	ENSP00000339335.6	221
CFLAR	ENST00000341582.10	ENSP00000345807.6	445
CFLAR	ENST00000342795.9	ENSP00000342809.5	292
CFLAR	ENST00000395148.6	ENSP00000378580.2	250
CFLAR	ENST00000441224.5	ENSP00000411897.1	129
CFLAR	ENST00000433445.1	ENSP00000391029.1	64
CFLAR	ENST00000423241.6	ENSP00000399420.2	480
CFLAR	ENST00000425030.1	ENSP00000409570.1	62
CFLAR	ENST00000417748.1	ENSP00000412882.1	118
CFLAR	ENST00000440180.5	ENSP00000406775.1	221
CFLAR	ENST00000457277.5	ENSP00000411535.1	462
CFLAR	ENST00000494258.5	ENSP00000469608.1	117
CFLAR	ENST00000470178.6	ENSP00000471749.1	117
CFLAR	ENST00000462763.5	ENSP00000469917.1	168
CFLAR	ENST00000479953.6	ENSP00000471805.1	366
CHI3L1	ENST00000255409.8	ENSP00000255409.3	383
CHI3L1	ENST00000404436.2	ENSP00000385350.2	152
CHST11	ENST00000303694.6	ENSP00000305725.5	352
CHST11	ENST00000547956.1	ENSP00000449093.1	77
CHST11	ENST00000549260.5	ENSP00000450004.1	347
CHST11	ENST00000546689.1	ENSP00000448678.1	72
CHST11	ENST00000549016.1	ENSP00000449095.1	158
CHST15	ENST00000346248.7	ENSP00000333947.6	561
CHST15	ENST00000435907.6	ENSP00000402394.1	561
CHST15	ENST00000628426.1	ENSP00000485905.1	506
CHST15	ENST00000462406.1	ENSP00000487014.1	66
CIR1	ENST00000342016.8	ENSP00000339723.3	450
CIR1	ENST00000377973.4	ENSP00000367211.4	96
CKLF	ENST00000345436.8	ENSP00000290771.4	120
CKLF	ENST00000351137.8	ENSP00000264003.4	99
CKLF	ENST00000362093.4	ENSP00000355417.4	67
CKLF	ENST00000264001.9	ENSP00000264001.5	152
CKLF	ENST00000417030.2	ENSP00000416678.2	113
CLCN4	ENST00000380833.9	ENSP00000370213.4	760
CLCN4	ENST00000380829.5	ENSP00000370209.1	729
CLCN4	ENST00000421085.7	ENSP00000405754.3	768
CLCN4	ENST00000674669.1	ENSP00000501922.1	666
CLCN4	ENST00000454850.1	ENSP00000403064.1	152
CLDN5	ENST00000406028.1	ENSP00000385477.1	303
CLDN5	ENST00000618236.2	ENSP00000480623.1	218
CLDN5	ENST00000403084.1	ENSP00000384554.1	303
CLDN5	ENST00000413119.2	ENSP00000400612.2	303
CLEC2B	ENST00000228438.3	ENSP00000228438.2	149
CLEC2B	ENST00000538152.1	ENSP00000437946.1	80
CLEC4A	ENST00000229332.12	ENSP00000229332.5	237
CLEC4A	ENST00000345999.9	ENSP00000344646.3	165
CLEC4A	ENST00000352620.9	ENSP00000247243.5	204
CLEC4A	ENST00000360500.5	ENSP00000353690.3	198
CLEC4A	ENST00000641376.1	ENSP00000493257.1	84
CLEC4E	ENST00000299663.8	ENSP00000299663.3	219
CLEC4E	ENST00000446457.6	ENSP00000387737.2	92
CLEC4E	ENST00000545274.5	ENSP00000443034.1	174
CLEC4E	ENST00000537698.1	ENSP00000443328.1	94
CLEC9A	ENST00000355819.6	ENSP00000348074.1	241
CMIP	ENST00000537098.8	ENSP00000446100.2	773
CMIP	ENST00000539778.6	ENSP00000440401.2	679
CMIP	ENST00000566513.5	ENSP00000478272.1	586
CMIP	ENST00000398040.8	ENSP00000381120.4	620
CMIP	ENST00000566462.2	ENSP00000478736.1	125
CNTNAP3	ENST00000297668.11	ENSP00000297668.6	1288
CNTNAP3	ENST00000377656.6	ENSP00000366884.2	1207
CNTNAP3	ENST00000358144.6	ENSP00000350863.2	1039
CNTNAP3	ENST00000377659.1	ENSP00000366887.1	745
CNTNAP3B	ENST00000612828.4	ENSP00000483830.1	1207
CNTNAP3B	ENST00000377561.7	ENSP00000478671.2	1288
CNTNAP3B	ENST00000476961.5	ENSP00000483642.1	180
CNTNAP3B	ENST00000489789.3	ENSP00000484919.1	167
CNTNAP3B	ENST00000617422.4	ENSP00000478659.1	652
CNTNAP3B	ENST00000341990.8	ENSP00000481131.1	745
CNTNAP3B	ENST00000276974.7	ENSP00000276974.5	380
COL18A1	ENST00000651438.1	ENSP00000498485.1	1339
COL18A1	ENST00000355480.10	ENSP00000347665.5	1519
COL18A1	ENST00000359759.8	ENSP00000352798.4	1754
COL18A1	ENST00000342220.9	ENSP00000339118.5	687
COL18A1	ENST00000423214.1	ENSP00000415692.1	280
COQ7	ENST00000321998.10	ENSP00000322316.5	217
COQ7	ENST00000568985.5	ENSP00000456734.1	217
COQ7	ENST00000566110.5	ENSP00000456943.1	103
COQ7	ENST00000544894.6	ENSP00000442923.2	179
COQ7	ENST00000561858.5	ENSP00000457256.1	130
COQ7	ENST00000569127.1	ENSP00000455122.1	194
COTL1	ENST00000262428.5	ENSP00000262428.4	142
COTL1	ENST00000564057.1	ENSP00000457033.1	73
COTL1	ENST00000567786.2	ENSP00000480117.1	48
CPD	ENST00000225719.9	ENSP00000225719.4	1380
CPD	ENST00000543464.6	ENSP00000444443.2	1133
CPD	ENST00000584221.2	ENSP00000463763.2	184
CPEB4	ENST00000265085.10	ENSP00000265085.5	729
CPEB4	ENST00000520867.5	ENSP00000429092.1	704
CPEB4	ENST00000334035.9	ENSP00000334533.5	712
CPEB4	ENST00000519835.5	ENSP00000429048.1	639
CPEB4	ENST00000519152.5	ENSP00000429423.1	147
CPEB4	ENST00000522336.5	ENSP00000430345.1	339
CPEB4	ENST00000517880.1	ENSP00000427990.1	322
CPEB4	ENST00000657000.1	ENSP00000499433.1	295
CPEB4	ENST00000519467.1	ENSP00000499471.1	295
CPPED1	ENST00000381774.9	ENSP00000371193.4	314
CPPED1	ENST00000261660.4	ENSP00000261660.4	122
CPPED1	ENST00000433677.6	ENSP00000411127.2	172
CPQ	ENST00000220763.10	ENSP00000220763.5	472
CPQ	ENST00000519900.1	ENSP00000431024.1	131
CPQ	ENST00000517742.1	ENSP00000429146.1	186
CPQ	ENST00000519484.1	ENSP00000431114.1	137
CPQ	ENST00000521142.1	ENSP00000429934.1	130
CPQ	ENST00000522617.3	ENSP00000429134.1	130
CR1	ENST00000400960.7	ENSP00000383744.2	2039
CR1	ENST00000367049.9	ENSP00000356016.4	2489
CR1	ENST00000367051.6	ENSP00000356018.1	2039
CR1	ENST00000367052.6	ENSP00000356019.1	2039
CR1	ENST00000367053.6	ENSP00000356020.1	2039
CR1	ENST00000529814.1	ENSP00000434718.1	660
CREB5	ENST00000396299.6	ENSP00000379593.2	475
CREB5	ENST00000424599.5	ENSP00000394088.1	115
